Name,Year,T,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,IsoP,Spd,BABIP,UBR,wSB,wRC,wRAA,wOBA,ev,wRC+
"Aoki, Norichika",2020,S,425,14.6,12,1.22,0.317,0.424,0.557,0.981,0.241,2.6,0.329,0.2,0,82.2,35.7,0.427,134,162
"Yoshida, Masataka",2020,B,492,14.6,5.9,2.48,0.35,0.453,0.512,0.966,0.162,2.6,0.35,-1.9,-0.8,95.3,41.5,0.425,133.6,173
"Suzuki, Seiya",2020,C,514,14,14.2,0.99,0.3,0.409,0.544,0.953,0.244,3.7,0.31,2.8,-0.4,97.5,41.3,0.423,134.3,159
"Asamura, Hideto",2020,E,529,17.2,21,0.82,0.28,0.408,0.56,0.969,0.28,1.4,0.306,-0.7,-0.2,100.2,42.3,0.42,134.7,176
"Sano, Keita",2020,DB,451,9.3,12.9,0.72,0.328,0.395,0.532,0.927,0.204,1,0.343,-5.2,-,79.8,30.5,0.407,134.1,150
"Maru, Yoshihiro",2020,G,491,12.8,20.6,0.62,0.284,0.375,0.553,0.928,0.27,3.2,0.313,2.4,0,85.8,32.1,0.404,134.5,147
"Kajitani, Takayuki",2020,DB,482,9.3,17.6,0.53,0.323,0.387,0.527,0.913,0.203,4.7,0.366,7.1,-0.4,83.8,31.1,0.403,133.2,145
"Ohyama, Yusuke",2020,T,471,8.7,20.4,0.43,0.288,0.357,0.56,0.918,0.272,3.8,0.313,1.8,-0.9,80.4,28.9,0.399,134.5,149
"Okamoto, Kazuma",2020,G,500,11,17,0.65,0.275,0.362,0.545,0.907,0.27,2.6,0.278,0,0.4,83.9,29.2,0.396,134.4,143
"Romero, Stefen",2020,E,404,9.4,26.7,0.35,0.272,0.354,0.539,0.893,0.267,1.8,0.323,-1.3,-,66.9,22.7,0.39,134.7,151
"Kondoh, Kensuke",2020,F,467,19.1,15.4,1.24,0.34,0.465,0.469,0.934,0.129,3,0.405,0,0.6,87.7,36.6,0.418,134,176
"Nishikawa, Haruki",2020,F,523,17.6,16.1,1.1,0.306,0.43,0.396,0.825,0.09,6.5,0.369,1.9,3.5,82.8,25.6,0.382,134.5,146
"Soto, Neftali",2020,DB,480,9.2,21.5,0.43,0.252,0.323,0.47,0.793,0.217,1.2,0.272,-5.2,-,62.5,10,0.349,133.9,112
"Martin, Leonys",2020,M,448,15.6,22.3,0.7,0.234,0.382,0.485,0.866,0.251,3.4,0.25,1.3,0.3,73.5,24.5,0.389,133.6,146
"Kuriyama, Takumi",2020,L,428,12.4,18,0.69,0.272,0.362,0.427,0.79,0.156,0.6,0.312,-1.2,-,57.5,10.6,0.352,134.3,125
"Kikuchi, Ryosuke",2020,C,429,8.2,15.9,0.51,0.271,0.334,0.423,0.757,0.152,3.9,0.308,2.1,-0.2,57.1,10.2,0.353,133.8,107
"Spangenberg, Cory",2020,L,445,7.2,33.7,0.21,0.268,0.326,0.482,0.807,0.214,6.5,0.385,-1.3,1,60.9,12.2,0.355,134.2,128
"Yamakawa, Hotaka",2020,L,401,16,24.9,0.64,0.205,0.357,0.45,0.807,0.245,0.7,0.21,-1.9,-,55.6,11.7,0.357,134.7,129
"Takahashi, Shuhei",2020,D,438,8.9,16,0.56,0.305,0.368,0.426,0.794,0.122,2,0.353,1.7,-0.2,59.4,11.5,0.356,132.6,119
"Sands, Jerry",2020,T,443,13.8,23.9,0.58,0.257,0.363,0.451,0.814,0.194,1.7,0.307,-2.2,0,61.4,13,0.36,134.6,125
"Miyazaki, Toshiro",2020,DB,460,5.2,6.3,0.83,0.301,0.341,0.464,0.805,0.163,1.3,0.296,-0.6,-,64.9,14.6,0.363,133.8,115
"Sakamoto, Hayato",2020,G,479,12.9,17.7,0.73,0.289,0.379,0.5,0.879,0.211,3.1,0.321,0.9,0.4,74.6,22.2,0.381,134.4,134
"Nakata, Sho",2020,F,506,10.9,21.5,0.5,0.239,0.32,0.491,0.811,0.252,1.2,0.239,-4,0.1,70.3,15,0.358,134.3,128
"Nishikawa, Haruki",2021,F,547,16.3,18.1,0.9,0.233,0.362,0.318,0.68,0.085,6.1,0.289,-0.8,0,61.2,6,0.326,134.6,113
"Kozono, Kaito",2021,C,481,2.7,11.9,0.23,0.298,0.32,0.399,0.718,0.1,5.2,0.33,4.7,-0.7,51.6,2.4,0.324,133.7,100
"Nakamura, Akira",2021,H,552,12.7,10.7,1.19,0.245,0.344,0.348,0.692,0.104,2.1,0.262,0.7,-0.2,58.7,3,0.319,134,105
"Soto, Neftali",2021,DB,451,7.8,25.7,0.3,0.234,0.302,0.437,0.738,0.202,1.3,0.274,-2.4,-0.4,48.6,2.5,0.325,133.5,97
"Itohara, Kento",2021,T,488,8.4,12.5,0.67,0.286,0.347,0.351,0.698,0.066,3,0.325,-0.5,-0.7,52.9,3,0.325,132.2,100
"Sato, Teruaki",2021,T,455,5.5,38,0.14,0.238,0.284,0.466,0.749,0.228,3.4,0.335,-1.9,0.3,50,3.5,0.327,131.8,102
"Matsubara, Seiya",2021,G,477,8,21,0.38,0.274,0.333,0.422,0.756,0.148,6,0.329,4.3,0.1,56,7.2,0.337,134.5,108
"Suzuki, Daichi",2021,E,628,8.3,8.1,1.02,0.277,0.343,0.377,0.72,0.1,3.1,0.288,-0.1,-0.2,72.6,9.3,0.331,133.8,114
"Aoki, Norichika",2021,S,501,8.6,8.8,0.98,0.258,0.335,0.383,0.719,0.126,1.4,0.268,-2.2,-,57.7,6.5,0.334,133.8,99
"Nakamura, Yuhei",2021,S,445,10.3,14.8,0.7,0.279,0.36,0.358,0.718,0.08,1.8,0.329,0.2,-1.1,51.4,6,0.334,132,103
"Tatsumi, Ryosuke",2021,E,443,11.5,22.3,0.52,0.225,0.326,0.345,0.671,0.12,3.2,0.278,-1.1,-1.2,45.6,0.9,0.314,133.9,103
"Nishikawa, Ryoma",2021,C,551,6.7,12.7,0.53,0.286,0.335,0.399,0.733,0.113,2.3,0.31,0.2,-0.5,64.8,8.5,0.337,134,106
"Mune, Yuma",2021,B,543,6.1,11.4,0.53,0.272,0.335,0.393,0.728,0.121,5.7,0.296,2.4,-0.1,62.8,8,0.331,135.6,116
"Osuna, Jose",2021,S,495,4.4,16.2,0.28,0.258,0.293,0.401,0.694,0.143,3,0.286,-1.2,0.5,49.1,-1.5,0.314,132.2,88
"Umeno, Ryutaro",2021,T,458,9,23.4,0.38,0.225,0.303,0.3,0.603,0.074,4.1,0.297,-6.4,0,36.7,-10.1,0.29,134.1,75
"Fukuda, Shuhei",2021,B,471,9.1,11,0.83,0.275,0.354,0.321,0.675,0.047,4,0.311,1.6,1.1,47.6,0.1,0.312,135.5,102
"Kobukata, Hiroto",2021,E,455,9.7,14.3,0.68,0.248,0.328,0.312,0.64,0.064,4.4,0.29,2.2,-1,42.8,-3.1,0.303,133.5,92
"Genda, Sosuke",2021,L,516,6,13,0.46,0.272,0.319,0.347,0.666,0.075,7,0.312,5.8,0.7,48.4,-3.7,0.303,134.5,92
"Kuriyama, Takumi",2021,L,446,11,13,0.84,0.251,0.334,0.32,0.654,0.07,1.4,0.28,-1,0.2,41.8,-3.3,0.303,134.8,92
"Fujioka, Yudai",2021,M,493,8.1,19.3,0.42,0.255,0.32,0.338,0.658,0.083,4.5,0.319,3.1,0.6,46.1,-3.7,0.303,134.8,89
"Wu, Nien-Ting",2021,L,478,9,14.6,0.61,0.238,0.31,0.348,0.658,0.111,2.1,0.261,-1.7,-0.2,44.7,-3.6,0.303,134,91
"Kai, Takuya",2021,H,479,9.2,29.6,0.31,0.227,0.305,0.353,0.658,0.126,2.4,0.316,0.7,-1.2,44.3,-4,0.301,134.8,93
"Nakano, Takumu",2021,T,525,5.5,15.4,0.36,0.273,0.321,0.328,0.649,0.056,6.3,0.325,5,4.5,45.8,-7.9,0.299,131.7,81
"Asama, Daiki",2021,F,458,6.8,25.1,0.27,0.251,0.308,0.338,0.646,0.088,4,0.332,-0.4,-0.1,41.2,-5,0.298,134.6,91
"Takahashi, Shuhei",2021,D,520,7.7,15.2,0.51,0.259,0.315,0.347,0.663,0.088,1.6,0.299,2.8,0.2,45.1,-8.1,0.298,133.8,86
"Kyoda, Yota",2021,D,448,4.7,16.7,0.28,0.257,0.302,0.315,0.618,0.059,4.3,0.305,1.5,-0.7,37,-8.8,0.293,131.3,75
"Kurebayashi, Kotaro",2021,B,473,2.5,21.4,0.12,0.228,0.251,0.353,0.603,0.125,2.9,0.27,-0.6,0,32.5,-15.2,0.271,135.3,72
"Okajima, Takero",2021,E,507,5.5,18.5,0.3,0.28,0.331,0.414,0.745,0.134,3,0.333,-2.3,-1.7,62.7,11.5,0.341,134.2,123
"Ohshima, Yohei",2021,D,596,7,10.1,0.7,0.292,0.345,0.35,0.695,0.058,4.7,0.325,0.7,0,58.8,-2.1,0.313,133.8,97
"Nakamura, Takeya",2021,L,475,8.2,24,0.34,0.284,0.343,0.44,0.783,0.156,0.9,0.344,-1.1,-,58.8,10.9,0.341,134.9,127
"Shimauchi, Hiroaki",2021,E,599,16.2,14.5,1.11,0.257,0.385,0.477,0.863,0.22,3.1,0.271,0.4,-0.4,92.7,32.2,0.38,134.2,154
"Kikuchi, Ryosuke",2021,C,542,7.7,15.9,0.49,0.277,0.333,0.429,0.762,0.152,2.6,0.306,2.8,-1.6,67.6,12.2,0.346,133.4,115
"Suzuki, Seiya",2021,C,533,16.3,16.5,0.99,0.317,0.433,0.639,1.072,0.322,2.6,0.318,-0.9,0.2,115.3,60.8,0.462,134,199
"Yoshida, Masataka",2021,B,455,12.7,5.7,2.23,0.339,0.429,0.563,0.992,0.224,1.3,0.322,-3.4,-,87.6,41.7,0.428,135.5,192
"Murakami, Munetaka",2021,S,615,17.2,21.6,0.8,0.278,0.408,0.566,0.974,0.288,2.7,0.302,1.1,-0.4,116.3,53.4,0.427,132.4,170
"Viciedo, Dayan",2021,D,526,6.7,10.6,0.63,0.275,0.333,0.433,0.766,0.158,1.3,0.28,-4.7,-0.5,64.5,10.7,0.343,133.2,113
"Yanagita, Yuki",2021,H,593,11.6,20.6,0.57,0.3,0.388,0.541,0.929,0.24,4.3,0.345,3.3,1,103.6,43.8,0.405,134.5,172
"Mori, Tomoya",2021,L,520,15.2,12.5,1.22,0.309,0.42,0.469,0.889,0.16,3.4,0.341,0,0.1,89.9,37.4,0.403,134.4,164
"Kondoh, Kensuke",2021,F,545,16.1,15.4,1.05,0.298,0.413,0.472,0.885,0.174,3.8,0.341,4.2,0.3,91.1,36.1,0.395,134.8,168
"Maki, Shugo",2021,DB,523,5.2,16.3,0.32,0.314,0.356,0.534,0.89,0.22,3.4,0.343,2,0,85.7,32.2,0.395,132.3,147
"Yamada, Tetsuto",2021,S,581,13.1,17.2,0.76,0.272,0.37,0.515,0.885,0.243,2.3,0.273,0.6,-0.4,93.6,34.2,0.392,132.1,145
"Martin, Leonys",2021,M,499,14,26.5,0.53,0.233,0.355,0.5,0.855,0.267,2.6,0.269,2.9,0.3,77.5,27.1,0.381,135,147
"Sano, Keita",2021,DB,615,9.9,11.9,0.84,0.303,0.376,0.466,0.842,0.163,1.8,0.322,-2.9,-0.4,93.2,30.3,0.38,134.9,137
"Kuwahara, Masayuki",2021,DB,571,7.7,13.1,0.59,0.31,0.369,0.474,0.843,0.164,4.3,0.342,-1.1,-0.4,86.1,27.7,0.379,134.4,137
"Maru, Yoshihiro",2021,G,457,13.8,26.3,0.53,0.265,0.365,0.495,0.86,0.23,2.5,0.323,1.4,-0.2,68.5,21.7,0.378,134.8,138
"Sakakura, Shogo",2021,C,484,10.5,12.4,0.85,0.315,0.39,0.467,0.857,0.152,3,0.341,0.1,-0.4,72.4,22.9,0.377,134.1,143
"Sugimoto, Yutaro",2021,B,542,9.4,21.4,0.44,0.301,0.378,0.552,0.931,0.251,2.6,0.336,-0.3,-0.6,98.7,44,0.414,135.6,182
"Asamura, Hideto",2021,E,595,17,16.1,1.05,0.269,0.395,0.422,0.817,0.153,2,0.298,-1.4,0.2,89.4,29.3,0.374,134.4,149
"Sands, Jerry",2021,T,461,10.6,19.3,0.55,0.248,0.328,0.451,0.779,0.203,1.8,0.268,-1.6,-0.2,58.1,11,0.348,134,117
"Okamoto, Kazuma",2021,G,592,9.6,18.2,0.53,0.265,0.341,0.53,0.871,0.265,1.6,0.26,-9,-0.2,87.9,27.4,0.376,132.4,133
"Mogi, Eigoro",2021,E,466,10.3,23,0.45,0.259,0.343,0.427,0.77,0.168,4.2,0.316,3.6,-0.8,62.4,15.4,0.354,133.7,131
"Kurihara, Ryoya",2021,H,596,8.9,15.1,0.59,0.275,0.339,0.465,0.804,0.19,4,0.293,2,0.4,80.1,20,0.354,134.4,135
"Ogino, Takashi",2021,M,643,8.2,10.9,0.76,0.296,0.367,0.425,0.791,0.128,5.5,0.323,3.7,0,87,22.1,0.355,134.5,131
"Miyazaki, Toshiro",2021,DB,569,7.2,9.3,0.77,0.301,0.353,0.455,0.808,0.154,1,0.308,-1.6,-,75.6,17.5,0.356,132.9,123
"Ohyama, Yusuke",2021,T,512,7.2,17.4,0.42,0.26,0.313,0.453,0.765,0.193,2.7,0.275,0.8,0,64.8,12.5,0.348,132.3,117
"Nakamura, Shogo",2021,M,615,12.4,14.6,0.84,0.283,0.382,0.415,0.797,0.132,4,0.323,2,-0.6,85.1,23,0.359,134.2,133
"Chikamoto, Koji",2021,T,612,5.4,9.5,0.57,0.313,0.354,0.441,0.795,0.128,6.2,0.334,7.8,1.7,83.1,20.5,0.36,131.8,125
"Laird, Brandon",2021,M,545,9.2,20,0.46,0.262,0.33,0.478,0.809,0.216,0.8,0.277,-5.9,-0.4,76,21,0.361,134.6,130
"Sakamoto, Hayato",2021,G,487,11.9,18.5,0.64,0.271,0.359,0.467,0.826,0.196,1.5,0.303,0,-0.7,69,19.2,0.367,132.2,127
"Marte, Jefry",2021,T,526,14.1,13.7,1.03,0.258,0.367,0.451,0.818,0.193,1.1,0.263,-1.3,-,73.7,20,0.365,132.2,132
"Shiomi, Yasutaka",2021,S,534,9,29.2,0.31,0.278,0.357,0.441,0.798,0.162,7.4,0.388,3.8,1.9,71.9,17.3,0.358,134.3,120
"Kobukata, Hiroto",2022,E,479,7.7,13.6,0.57,0.267,0.328,0.342,0.67,0.075,6.4,0.308,1.1,1.3,47.4,2.3,0.313,134.1,101
"O'grady, Brian",2022,L,465,11.6,27.7,0.42,0.213,0.312,0.384,0.695,0.171,1.8,0.271,1.8,0,46.5,2.7,0.314,134.6,107
"Suzuki, Daichi",2022,E,477,8,10.9,0.73,0.257,0.344,0.341,0.685,0.083,2.2,0.282,0.8,0,48.8,3.9,0.317,132,108
"Nishikawa, Haruki",2022,E,451,15.1,22.8,0.66,0.218,0.342,0.341,0.683,0.124,6.4,0.28,1.5,0.6,48.5,6,0.324,134.1,111
"Okabayashi, Yuki",2022,D,608,4.8,11,0.43,0.291,0.329,0.373,0.702,0.081,7,0.331,8.4,2.1,65.5,6.3,0.324,133.9,107
"Yoshikawa, Naoki",2022,G,567,5.6,9.3,0.6,0.277,0.329,0.38,0.708,0.103,5.6,0.298,2.3,0.3,61.9,6.7,0.326,132.5,103
"Kiyomiya, Kotaro",2022,F,461,9.8,24.5,0.4,0.219,0.305,0.429,0.734,0.209,3.8,0.256,0.3,-1,50.9,7.5,0.328,135.2,121
"Kuwahara, Masayuki",2022,DB,529,7.9,16.8,0.47,0.257,0.322,0.354,0.676,0.097,4.2,0.308,3.6,-0.5,52.3,0.8,0.313,131.9,94
"Ohshima, Yohei",2022,D,482,7.1,10.8,0.65,0.314,0.376,0.367,0.743,0.053,3.6,0.355,6,0.5,54.2,7.3,0.33,133.8,115
"Mune, Yuma",2022,B,537,8.4,15.1,0.56,0.271,0.341,0.356,0.697,0.085,2.5,0.314,5.5,-1,56.3,5.6,0.32,135,109
"Kikuchi, Ryosuke",2022,C,522,4.6,13.4,0.34,0.262,0.3,0.359,0.659,0.097,2.5,0.296,1.7,-0.7,51.4,0.6,0.312,133,90
"Genda, Sosuke",2022,L,456,6.6,15.8,0.42,0.266,0.317,0.338,0.655,0.072,6.1,0.318,5.3,0.7,40.6,-2.4,0.3,135,98
"Takabe, Akito",2022,M,608,5.9,16.9,0.35,0.274,0.324,0.342,0.666,0.068,7.1,0.331,1.6,4.2,58.3,1,0.309,132.3,97
"Nakano, Takumu",2022,T,610,3,14.6,0.2,0.276,0.301,0.346,0.647,0.07,5.6,0.318,5,1.5,55.8,-3.5,0.303,131.9,87
"Fukuda, Shuhei",2022,B,502,6.4,10,0.64,0.268,0.328,0.319,0.647,0.051,5.6,0.302,2.1,-0.8,45.7,-1.6,0.303,135,49
"Fukuda, Shuhei",2022,B,502,6.4,10,0.64,0.268,0.328,0.319,0.647,0.051,5.6,0.302,2.1,-0.8,45.7,-1.6,0.303,135,95
"Itohara, Kento",2022,T,495,7.1,9.7,0.73,0.247,0.307,0.299,0.606,0.052,1.7,0.269,-2,-0.7,43,-5.1,0.297,132.1,77
"Tonosaki, Shuta",2022,L,547,9.5,20.7,0.46,0.215,0.295,0.356,0.65,0.14,4.4,0.256,5.3,-0.3,46.2,-5.4,0.294,134.4,98
"Kinoshita, Takuya",2022,D,466,5.8,8.2,0.71,0.246,0.289,0.341,0.63,0.095,2.5,0.255,-0.8,0.3,35.6,-9.7,0.283,134.2,82
"Nagaoka, Hideki",2022,S,548,3.6,13.1,0.28,0.241,0.273,0.337,0.61,0.096,1.8,0.263,-1,-0.7,41.4,-11.9,0.282,132.2,68
"Kurebayashi, Kotaro",2022,B,495,5.3,14.3,0.37,0.224,0.275,0.318,0.593,0.093,2.4,0.253,-2.8,-0.3,35.3,-11.3,0.277,134.8,74
"Chikamoto, Koji",2022,T,580,7.1,10.9,0.65,0.293,0.352,0.352,0.704,0.059,5.8,0.328,5.1,3.4,65.8,9.4,0.332,132.3,108
"Kozono, Kaito",2022,C,511,4.7,14.9,0.32,0.266,0.3,0.362,0.662,0.095,4.4,0.301,1,-0.3,49.5,-0.3,0.31,133.6,89
"Abe, Toshiki",2022,D,548,8.9,19.2,0.47,0.27,0.338,0.397,0.735,0.128,2.6,0.323,-6.4,0.2,62.9,9.6,0.333,133.9,118
"Matsumoto, Go",2022,F,445,7.2,9.4,0.76,0.347,0.398,0.438,0.836,0.091,4.9,0.379,3.4,1.9,63.4,21.5,0.37,132.8,151
"Nakagawa, Keita",2022,B,468,5.6,16.9,0.33,0.283,0.326,0.441,0.767,0.158,6.6,0.327,-2.4,1.2,55.5,11.4,0.338,134.7,129
"Murakami, Munetaka",2022,S,612,19.3,20.9,0.92,0.318,0.458,0.71,1.168,0.392,3.4,0.327,-1.3,-0.3,145.4,85.9,0.493,132.5,221
"Yoshida, Masataka",2022,B,508,15.7,8.1,1.95,0.335,0.447,0.561,1.008,0.226,2.5,0.328,-5.4,0.7,96.5,48.7,0.432,135,200
"Yamakawa, Hotaka",2022,L,528,12.9,21.6,0.6,0.266,0.375,0.578,0.953,0.313,0.4,0.265,-3.2,-,92.5,42.7,0.412,134.8,189
"Maki, Shugo",2022,DB,568,7.6,14.4,0.52,0.291,0.354,0.507,0.861,0.216,2.1,0.303,0.1,-0.5,86.3,31.1,0.382,132,145
"Maru, Yoshihiro",2022,G,607,13.2,14.5,0.91,0.272,0.37,0.49,0.859,0.217,2.6,0.283,0.5,-1.4,91.2,32.2,0.38,132.7,148
"Sano, Keita",2022,DB,574,7.5,9.9,0.75,0.306,0.362,0.49,0.853,0.184,2,0.31,-0.4,0,85.5,29.6,0.378,132.2,144
"Osuna, Jose",2022,S,529,5.5,17.6,0.31,0.272,0.312,0.44,0.751,0.167,2.1,0.298,-1.5,-0.7,61.1,9.6,0.334,132.5,109
"Miyazaki, Toshiro",2022,DB,482,9.1,7.3,1.26,0.3,0.365,0.47,0.835,0.171,1.2,0.296,-2.8,-,69.5,22.6,0.372,132.1,136
"Ohyama, Yusuke",2022,T,510,11.6,20.2,0.57,0.267,0.358,0.469,0.827,0.203,1.3,0.296,-0.4,-0.3,73,23.4,0.37,132,141
"Yanagita, Yuki",2022,H,491,8.8,21.6,0.41,0.275,0.344,0.485,0.829,0.211,2.3,0.308,-6.8,-0.7,69.6,23.4,0.369,134.5,147
"Shiomi, Yasutaka",2022,S,567,7.6,21.5,0.35,0.276,0.345,0.453,0.797,0.177,7,0.332,5.5,1.7,79.6,24.5,0.367,132.5,126
"Shimauchi, Hiroaki",2022,E,613,10.3,13.4,0.77,0.298,0.373,0.453,0.826,0.155,3,0.328,-9,-0.2,90.1,32.4,0.376,132.5,151
"Asamura, Hideto",2022,E,633,14.5,21.6,0.67,0.252,0.365,0.436,0.801,0.184,2,0.288,1,-0.3,84.4,24.7,0.358,132.5,142
"Viciedo, Dayan",2022,D,532,7.5,11.1,0.68,0.294,0.355,0.437,0.792,0.143,1.4,0.311,-0.6,-0.2,70.5,18.8,0.356,134,134
"Okamoto, Kazuma",2022,G,589,9.8,16,0.62,0.252,0.336,0.469,0.805,0.217,1.6,0.254,-3.8,-0.2,77.9,20.6,0.356,132.6,129
"Sato, Teruaki",2022,T,603,8.5,22.7,0.37,0.264,0.328,0.47,0.798,0.205,6.1,0.315,-0.1,0.9,78.1,19.5,0.352,132.3,132
"Sakakura, Shogo",2022,C,599,7.7,13.5,0.57,0.288,0.352,0.421,0.773,0.134,3,0.312,3.3,0,76.9,18.6,0.351,133.6,125
"Yamada, Tetsuto",2022,S,540,11.1,25.9,0.43,0.243,0.333,0.456,0.79,0.213,3.7,0.293,0.1,1,69.3,16.7,0.351,132.7,123
"Tatsumi, Ryosuke",2022,E,476,8.8,21.6,0.41,0.271,0.354,0.401,0.755,0.13,5,0.338,0.9,0.4,59.9,15.1,0.348,132.2,130
"Imamiya, Kenta",2022,H,510,7.3,13.9,0.52,0.296,0.352,0.409,0.761,0.113,2.2,0.338,-2.2,-0.8,62.6,14.5,0.344,134.4,129
"Nakamura, Shogo",2022,M,596,11.7,14.4,0.81,0.257,0.354,0.392,0.746,0.135,3.1,0.284,1.5,0.6,72.3,16.1,0.342,134.7,123
"Polanco, Gregory",2022,G,484,8.7,22.5,0.39,0.24,0.306,0.457,0.762,0.217,2.2,0.263,0.4,-0.7,58,10.9,0.34,132.5,117
"McBroom, Ryan",2022,C,508,10.2,20.7,0.5,0.272,0.352,0.442,0.794,0.17,1.1,0.319,3,-,69.4,20,0.362,132.8,132
"Nakano, Takumu",2023,T,660,8.6,16.2,0.53,0.285,0.349,0.343,0.692,0.057,5.3,0.344,6.6,-0.4,65.6,3.5,0.313,131.9,105
"Okabayashi, Yuki",2023,D,633,6.2,14.1,0.44,0.279,0.324,0.365,0.688,0.086,5.7,0.325,6.1,-0.5,62.9,3.3,0.313,134.6,107
"Nakamura, Akira",2023,H,585,10.3,9.1,1.13,0.274,0.351,0.337,0.688,0.063,1.8,0.295,-2.5,-0.7,57.1,3,0.313,133.9,110
"Matsumoto, Go",2023,F,561,6.6,10.2,0.65,0.276,0.332,0.333,0.665,0.057,3.4,0.304,1.8,-2.2,55.4,3.6,0.315,135,96
"Yamaguchi, Koki",2023,M,474,9.1,25.7,0.35,0.235,0.31,0.385,0.695,0.15,1,0.293,1.3,-,50,6.2,0.324,131.8,102
"Kobukata, Hiroto",2023,E,549,8.7,15.1,0.58,0.258,0.329,0.331,0.66,0.073,7.4,0.303,6.1,3.5,54.7,3.9,0.316,133.3,102
"Nomura, Yuki",2023,F,473,8.9,23.7,0.38,0.236,0.309,0.383,0.692,0.147,2.8,0.288,-0.1,0.3,48.2,4.5,0.319,134.8,106
"Sano, Keita",2023,DB,613,7.5,12.6,0.6,0.264,0.323,0.388,0.711,0.123,2.1,0.285,-5.4,-0.6,64.9,7.1,0.322,132.2,104
"Kurebayashi, Kotaro",2023,B,482,5.8,13.1,0.44,0.275,0.318,0.377,0.695,0.102,2.1,0.304,0,-1.4,47.9,3.3,0.316,136,110
"Yasuda, Hisanori",2023,M,472,10.4,20.1,0.52,0.238,0.318,0.361,0.678,0.123,1.7,0.284,-3.5,0.3,43.9,0.3,0.307,134.7,99
"Nagaoka, Hideki",2023,S,488,5.9,11.7,0.51,0.227,0.281,0.294,0.575,0.067,3.1,0.253,3.6,0,29.1,-16.9,0.259,132.5,58
"Imamiya, Kenta",2023,H,484,5.6,12,0.47,0.255,0.3,0.37,0.67,0.115,2.7,0.275,-1.7,0.6,44.1,-0.6,0.304,133.9,101
"Ishikawa, Takaya",2023,D,464,4.7,14.9,0.32,0.242,0.282,0.394,0.676,0.152,0.5,0.258,-1.5,-,42.2,-1.5,0.301,132.3,101
"Sekine, Taiki",2023,DB,532,5.5,10,0.55,0.261,0.308,0.334,0.642,0.073,5.4,0.286,5.5,0.9,47.4,-2.7,0.299,132.3,84
"Kikuchi, Ryosuke",2023,C,485,6.6,14,0.47,0.258,0.31,0.33,0.641,0.072,3.1,0.295,2.4,-0.4,42.9,-2.8,0.298,134,88
"Mune, Yuma",2023,B,478,7.5,11.5,0.65,0.245,0.309,0.313,0.622,0.068,2.6,0.277,-4.5,-0.2,39.3,-4.9,0.292,135.9,88
"Nakamura, Shogo",2023,M,584,8.9,15.2,0.58,0.22,0.299,0.331,0.63,0.11,2.7,0.245,4.8,0.1,48,-6,0.292,134.3,85
"Neuse, Sheldon",2023,T,516,7,16.5,0.42,0.24,0.295,0.328,0.623,0.088,1.3,0.273,-2.2,-,43.3,-5.3,0.292,132.6,84
"Kinami, Seiya",2023,T,470,6.6,21.9,0.3,0.267,0.32,0.333,0.653,0.066,1.7,0.347,0.8,-,38.5,-5.8,0.289,134.8,85
"Ohshima, Yohei",2023,D,494,3,8.7,0.35,0.289,0.316,0.334,0.65,0.045,3.3,0.316,3.6,0.7,40.2,-6.3,0.288,134.8,94
"Akiyama, Shogo",2023,C,483,7.2,16.8,0.43,0.274,0.333,0.376,0.709,0.101,5.4,0.329,2.2,0.4,52,6.5,0.324,134.3,107
"Kuwahara, Masayuki",2023,DB,479,4.8,11.3,0.43,0.252,0.301,0.373,0.674,0.121,3.8,0.27,0.3,-2.1,44.9,-0.2,0.305,131.6,93
"Tonosaki, Shuta",2023,L,571,9.8,20,0.49,0.26,0.338,0.4,0.738,0.139,5.6,0.312,1,3,62.5,9.7,0.329,132.4,125
"Yoshikawa, Naoki",2023,G,478,5.4,13.8,0.39,0.256,0.308,0.367,0.676,0.112,3.9,0.286,2.3,-0.6,45.7,0.7,0.308,134.4,96
"Mackinnon, David",2023,L,514,9.3,17.7,0.53,0.259,0.327,0.401,0.728,0.142,2.2,0.292,0.6,-0.2,56.4,8.9,0.33,134.4,120
"Osuna, Jose",2023,S,543,7.2,14.5,0.49,0.253,0.308,0.437,0.745,0.184,1.3,0.259,-2.3,-0.9,60.7,9.6,0.33,133.1,105
"Okamoto, Kazuma",2023,G,589,12.2,18.8,0.65,0.278,0.374,0.584,0.958,0.306,1.1,0.277,-2.8,-0.3,105.7,50.2,0.422,135.2,179
"Miyazaki, Toshiro",2023,DB,461,8.9,9.3,0.95,0.326,0.395,0.539,0.934,0.213,1.2,0.324,-3.2,0.2,79.8,36.3,0.413,132.5,171
"Ohyama, Yusuke",2023,T,625,15.8,19.2,0.83,0.288,0.403,0.456,0.859,0.168,1.9,0.338,4.3,-0.5,100.8,41.9,0.397,133,156
"Sakamoto, Hayato",2023,G,455,9.9,18.5,0.54,0.288,0.361,0.524,0.884,0.236,1.7,0.314,-0.4,0.3,71.9,29,0.393,132.5,160
"Yanagita, Yuki",2023,H,625,10.2,15.5,0.66,0.299,0.378,0.484,0.861,0.185,2,0.326,-3.3,0.2,96.7,38.9,0.391,132,164
"Mori, Tomoya",2023,B,453,11.9,13.5,0.89,0.294,0.385,0.508,0.893,0.214,3.1,0.304,-0.6,0.3,70,28.1,0.391,135.6,171
